subj,spec,work,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14
305,10,8,0,1,0,0,1,0,0,1,0,0,0,0,1,0
306,25,2,1,1,0,1,0,0,0,0,0,0,1,0,1,0
307,22,8,1,1,0,0,0,1,0,0,1,0,1,0,0,0
308,10,6,1,1,1,0,1,0,0,0,0,0,0,0,1,0
309,25,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0
310,10,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
311,4,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0
312,22,8,0,1,0,0,0,0,1,0,1,0,1,0,0,0
313,18,8,1,1,0,1,0,0,0,1,0,0,0,0,1,0
314,25,8,1,0,0,1,0,0,0,1,1,0,0,1,0,0
315,25,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0
316,4,4,0,1,1,1,0,0,1,0,0,0,1,0,0,0
317,9,8,1,1,0,0,0,0,0,0,1,0,0,0,1,0
318,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,22,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0
320,22,8,0,1,0,0,0,0,1,0,1,0,0,0,0,0
321,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,6,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0
323,7,3,1,0,0,1,0,0,0,1,0,0,1,0,1,0
324,7,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0
325,25,2,1,1,0,1,0,0,0,0,0,1,0,0,1,0
326,9,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
327,20,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
328,4,8,1,1,0,1,0,0,0,1,0,0,1,0,0,0
329,16,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0
330,18,8,1,1,0,0,1,0,0,1,1,0,0,0,0,0
331,25,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0
332,18,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0
333,18,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0
334,5,8,1,1,1,0,1,1,0,0,0,0,0,0,0,0
335,4,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0
336,18,7,1,0,0,0,1,0,0,0,0,0,0,1,1,1
337,22,8,1,1,0,0,0,0,0,0,1,0,1,0,0,0
338,10,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0
339,22,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1
340,16,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
341,15,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0
342,25,8,1,1,0,1,0,0,0,1,0,0,0,0,0,0
343,22,8,1,1,0,1,0,0,0,0,1,0,1,0,0,0
344,22,6,0,1,0,1,0,0,1,0,0,0,0,1,1,0
345,25,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0
346,22,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0
347,7,8,0,1,0,1,0,0,0,0,0,0,0,1,1,0
348,22,8,1,1,0,0,1,1,0,0,0,0,0,1,0,0
349,25,3,0,1,0,1,1,0,0,0,1,0,0,0,1,0
350,7,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0
351,25,8,1,1,0,0,1,1,0,0,0,0,1,0,0,0
352,4,8,0,1,0,1,0,1,0,0,1,0,1,0,0,0
353,16,8,0,0,0,0,0,0,0,0,1,0,1,0,1,0
354,16,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
355,25,8,0,1,0,0,1,1,0,0,0,0,0,0,1,1
356,3,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0
357,25,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0
358,14,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
359,4,8,1,1,0,1,0,0,0,0,0,0,1,0,1,0
360,10,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0
361,18,8,1,1,0,0,0,0,0,1,1,0,0,0,1,0
362,22,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
363,4,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0
364,22,8,1,1,0,0,1,1,0,0,1,0,0,0,0,0
365,10,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0
366,4,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0
367,25,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
368,12,8,1,1,0,0,0,1,0,0,1,0,1,0,0,0
369,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
370,16,3,0,0,1,1,0,0,1,0,1,1,0,0,0,0
371,18,7,1,1,0,1,0,1,0,1,0,0,0,0,0,0
372,22,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0
373,5,8,1,1,0,0,1,1,0,0,1,0,0,0,0,0
374,16,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0
375,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,22,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
377,17,4,0,1,0,1,0,0,0,0,1,0,1,0,1,0
378,22,8,1,1,0,1,0,0,0,0,0,0,1,0,1,0
379,4,2,0,1,0,0,1,0,0,0,1,1,1,0,0,0
380,9,7,1,1,0,1,0,1,0,0,1,0,0,0,0,0
381,10,8,0,1,0,0,0,0,1,1,0,0,0,0,1,0
382,22,8,1,0,0,0,1,1,0,0,1,0,0,0,0,0
383,22,8,1,1,0,1,0,0,0,0,1,0,0,0,0,1
384,22,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0
385,23,8,1,1,0,0,1,0,1,0,1,0,0,0,0,0
386,10,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0
387,22,8,1,1,0,1,0,0,0,1,0,0,1,0,0,0
388,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,4,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0
391,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,4,8,1,1,0,1,0,0,0,1,0,1,0,0,0,0
393,6,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0
394,25,8,1,1,0,0,1,0,0,0,1,1,0,0,0,0
395,22,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
396,22,8,1,0,0,0,1,1,0,1,1,0,0,0,0,0
397,22,8,1,1,0,1,0,1,0,0,1,0,0,0,0,0
398,4,6,0,1,0,1,0,0,0,0,0,0,1,1,1,0
399,22,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0
400,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,22,6,0,1,0,0,0,1,0,0,1,0,1,0,0,0
402,25,3,1,0,0,1,0,1,0,0,0,1,0,0,1,0
403,17,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0
404,9,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
